#Open,High,Low,Volume,Close
72500,73700,72400,1251658,72900
72300,74000,72300,880427,74000
74000,75100,73400,1239574,74600
74600,77200,74400,2084808,77000
76500,76500,73300,1729681,73300
74400,75300,74000,1099513,74800
74200,75000,73900,619059,74100
73300,74200,73000,1218465,73000
73500,74000,72000,935463,73700
74600,75300,74100,1075827,74700
76300,77400,76000,1778517,76800
77000,77400,76700,788091,76800
76800,77100,76000,622188,77000
77000,77600,74700,1589767,75200
75300,76500,74500,1160593,75900
75200,76500,75000,888478,75500
75700,76700,75100,769556,75100
76200,76600,75500,1207306,75800
76900,79100,76000,2506517,76000
77000,78600,76400,1797468,76900
77500,78000,76200,970004,77500
78200,78900,76900,1073611,78400
78100,79100,77800,1006889,79000
79400,80700,78500,1404731,79900
79900,82800,79200,2923802,80300
81500,83000,81200,2986806,82000
81400,83000,80500,2934048,81000
80500,81600,79000,1361597,81200
82000,82200,80100,1424168,81200
80400,80500,75700,2540350,76900
78200,78900,75500,1407034,77700
78600,78800,76900,873599,78000
75900,76600,75000,1199692,76500
77700,77700,74800,1541351,75400
75500,77200,74200,1621273,76400
77000,78100,76500,918525,76500
74500,74700,72500,2458988,72500
72900,74400,72300,900238,73700
73800,74000,72800,828911,73100
70800,71500,69600,2026684,71500
73000,73000,70500,1789470,70500
72000,72800,71200,1836349,71800
72100,72900,71200,1127213,71600
71500,73100,71400,1213243,72300
73700,74200,72400,1428194,72400
71900,72400,69800,3439882,70000
70600,71300,67700,2995973,68300
67500,67900,66600,2541305,67300
66600,69300,66200,2632993,68400
69500,70700,69100,1804022,69300
69300,70300,68900,1933687,69600
71100,71900,70700,1831162,70700
71700,72400,70700,1661181,70900
73400,73400,71200,2203862,71400
71700,73000,70300,1381171,71800
72300,72800,70900,1082904,71600
69600,70000,68500,2539279,68500
68700,69200,68200,1006027,68500
69000,69200,67600,992890,67900
67900,68400,67100,1295807,68000
68500,69600,68300,1318980,68900
68800,69900,68500,717583,68900
69000,69500,67800,918496,67900
69800,71000,69300,2628471,71000
70500,72000,70200,1533404,71200
71300,71800,70200,1374172,70600
73400,73400,72100,2117560,72700
72600,74100,72200,1732650,73900
73900,74500,72500,1369851,73300
74000,74400,72500,1845998,72500
72000,72100,70700,2026669,71700
71200,71500,69300,2160482,69500
70100,70200,69100,1757791,69200
69000,70600,68400,1153976,69400
70400,71400,70000,1167655,70400
70000,70100,68200,3215375,68700
68800,68800,66200,2585405,66700
68000,68000,64800,2464779,65400
64700,64900,63000,3033276,63000
63900,64700,62900,1920124,64300
64700,66900,64700,2531690,65300
65200,65300,63500,1341517,65000
62500,64100,62000,2081607,64000
64100,64800,62900,1309728,64100
64700,65000,62700,1726178,63200
63800,65800,62400,3262824,65400
68100,68200,66200,3182652,66200
67500,70200,67300,4222392,70100
70300,72800,69500,3262700,70500
71500,72000,70200,1247678,71000
70700,70900,67500,2535047,67500
66300,66400,64400,2885950,64400
64800,65200,62900,1784446,63400
64100,67200,64000,1889889,67200
68400,69200,66600,1610722,67200
66100,68000,65300,1459561,66000
65900,68900,65800,1875706,68000
66800,66900,65800,1724260,66500
66600,68800,66300,1774702,66500
68900,69500,68000,3125325,69000
69700,73000,69100,5750466,73000
72600,73500,69700,3064451,70000
71200,72700,68900,2197426,68900
67800,69300,66700,2071745,68300
68400,69000,63700,2791419,63700
63700,67500,63700,2367135,67500
68000,71500,68000,3100310,71500
72600,74000,69700,3056082,71400
70300,72200,69100,2200256,71500
71900,73000,68300,2926725,68300
69600,71000,68800,1987927,69700
70500,71000,68900,1682292,69300
69200,69500,67300,1674329,67600
68000,70800,68000,2299273,70800
70800,72500,70800,2384352,72000
73500,74400,73100,3174042,73900
74500,74500,72900,1533106,73500
73900,74400,72600,1192504,72900
73500,74100,72000,1543578,74000
72700,74000,71700,1645916,74000
74000,74300,72300,2098817,73800
73000,74000,71400,1634832,72300
71900,73200,69500,1425373,69500
68500,72200,68300,1357338,72200
72500,73100,71000,1333032,71200
71000,73000,70100,1323049,73000
73900,74400,73500,1204002,73900
74400,74500,72600,854029,72600
72500,72900,70700,1157202,71000
70400,72200,70300,1020931,71600
71400,71600,68500,2284789,68500
68000,71200,67500,1651710,71000
71300,71300,69600,1096641,70400
67800,69400,67600,1560047,68500
69300,70300,68800,1187210,69100
68000,68800,66800,1429774,68800
69200,69600,67500,973198,67600
68900,69400,66100,1809026,66100
66100,67000,64400,1894846,67000
66100,66800,63000,3024901,63000
62300,64300,61900,1769147,62300
63300,64900,62900,1563838,64400
63500,66200,62700,1751443,65800
65800,68000,64500,2641503,67400
65100,68400,64900,2930637,67200
69300,70800,68100,2876172,69000
69900,71900,69300,2951708,70800
72000,74000,71500,3212450,72000
71000,71800,69300,2029454,69500
71400,73000,70300,3176929,73000
72900,74600,71600,3098651,72800
72900,73800,71900,1744186,73400
74200,74300,70500,2368719,71200
72000,72200,70600,2352941,71300
71400,72000,70800,1184161,71100
69500,69900,68300,2155012,68400
68800,69200,67700,1437598,69000
69000,69300,67000,2044812,67500
68300,69500,68200,1207176,69500
68500,69200,67900,1140800,69100
69300,69500,68200,909628,68800
69000,69200,68200,1011049,68900
67500,68100,66500,1951383,67200
67500,67700,66500,939317,67100
66400,66500,65100,1739015,66300
66800,66900,65800,1331773,66400
66900,67000,65500,1442289,66100
66300,67900,66100,1675520,67600
68100,68700,67600,1109967,68400
67700,68300,66800,1128677,66800
65400,67200,65000,1427504,66700
67100,67300,65800,1090337,66100
66100,66200,65100,1163390,65900
65800,66300,65100,1120761,65800
65100,65400,64100,1906127,64500
63900,65400,63800,1390731,64100
63700,68500,63700,3715062,67800
69800,69900,67800,2071900,67800
67800,68200,65900,1925524,66600
66700,69600,66700,3476900,69300
69900,70700,69100,3094503,70500
70500,71000,69100,2164615,70300
71400,72300,70900,2550245,71800
71200,73800,71100,2419918,72700
73000,73300,71700,1751804,72500
72500,74100,71600,1759435,73400
74400,76600,74000,4522744,76000
76000,76600,74900,1903796,74900
74300,77300,74200,1959627,76900
76700,80000,76200,2069891,78500
78700,79800,77500,1489564,78900
78200,79800,77900,1164289,78500
80300,81100,79800,2164539,81100
80500,81800,79900,2022833,80600
80600,80600,77600,2453086,78200
77600,79400,77600,1686510,78000
77500,77900,76100,1659608,77000
76200,79100,76200,1755736,78600
79200,82400,79100,3261862,82300
80900,82400,80600,1471957,82000
81200,81300,79600,1320856,80500
80600,80600,79000,1309496,79500
80300,81600,79700,898066,80700
81300,82000,80900,1353429,81000
82200,85000,82100,2458186,84500
84000,86000,83100,1953256,84300
83400,85200,82600,2426572,83000
83400,83400,79500,3277587,79600
81100,83000,80800,2224808,83000
83600,84900,83100,1572462,83500
83600,85500,82400,1477216,83800
84000,84900,82800,994312,84600
85800,87000,85200,2090643,85900
85900,86800,84600,1180014,86100
86800,89800,86700,2267788,88500
87500,89100,87100,1348131,89100
89200,89300,86600,1526404,88000
87100,89000,86300,1146620,88200
88500,90000,87300,1328211,88600
88600,90400,88500,1659467,89600
90300,91400,88200,1482330,89000
88300,89700,87000,1428434,88200
89100,89500,86100,1470666,87100
85300,86100,84400,1410618,85900
84600,87200,83300,1754520,86200
86200,87300,85100,874825,86000
84800,84900,83300,1253046,84200
84000,84500,82600,1544124,83400
82700,83000,81300,1598531,81800
82200,84000,82000,1307117,83500
84500,84700,83400,806609,84000
83000,83800,82000,1213470,83400
82500,82700,79300,2370313,79300
79400,80700,78600,1671999,80100
80800,81900,79700,1221304,80900
78500,81300,78400,1574574,80800
80500,80700,77900,1365084,78700
78500,80000,77900,984134,79600
79100,79300,77800,1362031,78500
77900,80600,77900,998447,79600
80700,82300,80500,1165753,81000
81500,82400,80400,912231,81200
81200,81400,79600,798477,81200
80200,80700,78900,898745,79400
80100,80300,77600,920402,78200
76900,77800,76100,1294679,76700
76100,78100,75600,1145840,76300
76000,76200,73900,1558615,76200
75700,77200,75400,828255,76600
74200,74500,72500,1966760,72500
72000,73000,70900,1599581,71000
71200,73900,70700,1432361,73900
73200,74500,72500,1364654,73500
72000,72200,70200,2829123,70200
70600,72700,70400,1588235,71800
70800,72000,69500,1474470,71100
71100,71300,68800,1103651,69000
70600,71500,68200,1590443,68900
67200,68700,66400,2249774,67800
68000,71400,67900,1676675,71200
70900,71900,70000,776793,70400
69500,69800,67000,1390922,67400
67800,68500,66200,1512455,67400
69400,69600,68500,1398337,68500
69000,69400,67600,1062869,68200
69500,72100,69000,2084372,71000
71000,71700,70600,830484,71500
72900,73300,72100,1218669,72300
73500,75000,72300,2523297,73300
71300,72300,69700,1866649,71400
71700,71900,69600,1054887,70900
69100,69600,68000,1157962,69200
70700,71800,70400,1162918,70500
70600,72100,70300,751803,71500
70700,71000,69300,788710,70700
69700,70100,67700,1456043,69000
68500,70500,68400,1374760,69900
72200,72200,70800,1370220,71200
71200,71300,69600,1401922,70800
